"","Estimate","Est.Error","Q2.5","Q97.5","Treebank"
"upperAsymptote_Intercept",0.951050473341631,0.000731868904595792,0.949642401778217,0.952510183866389,"UD_Afrikaans-AfriBooms"
"lowerAsymptote_Intercept",0.324312922363949,0.00358656920686936,0.317377958846366,0.331404209495211,"UD_Afrikaans-AfriBooms"
"growthRate_Intercept",0.00320226273264212,8.65032293844271e-05,0.00303574256267066,0.00337560539824796,"UD_Afrikaans-AfriBooms"
"delta_Intercept",0.372734197906658,0.005661592259495,0.361897753540164,0.383930384255074,"UD_Afrikaans-AfriBooms"
"upperAsymptote_Intercept1",0.952999497929734,0.000445793964602551,0.952128051367391,0.953888133274277,"UD_Hebrew-HTB"
"lowerAsymptote_Intercept1",0.153836639944614,0.00159976242094492,0.150670092114656,0.157020314979616,"UD_Hebrew-HTB"
"growthRate_Intercept1",0.00402190325271599,5.02833054555497e-05,0.00392346121104472,0.00411926970732731,"UD_Hebrew-HTB"
"delta_Intercept1",0.238533930224647,0.00123231551757918,0.236140254424729,0.240949836566673,"UD_Hebrew-HTB"
"upperAsymptote_Intercept2",0.957886938014145,0.0009299412961045,0.956109435500699,0.959747314813349,"UD_Italian-ParTUT"
"lowerAsymptote_Intercept2",0.195600577721836,0.00450980956874338,0.186828430773108,0.204435085793856,"UD_Italian-ParTUT"
"growthRate_Intercept2",0.00314339883029076,9.23225283820298e-05,0.00296600432992755,0.00333184706947971,"UD_Italian-ParTUT"
"delta_Intercept2",0.339874329577833,0.00511573504841651,0.330081370449931,0.350081387406996,"UD_Italian-ParTUT"
"upperAsymptote_Intercept3",0.933048016030071,0.00110747578094441,0.93092511114067,0.935271797483996,"UD_Faroese-FarPaHC"
"lowerAsymptote_Intercept3",0.29614755931591,0.00569841138679926,0.284863171647153,0.307278834465515,"UD_Faroese-FarPaHC"
"growthRate_Intercept3",0.0026240038745907,8.61539130100709e-05,0.00245622614264361,0.00280350517526709,"UD_Faroese-FarPaHC"
"delta_Intercept3",0.497990143084621,0.012284110363581,0.473431771827877,0.522083309327675,"UD_Faroese-FarPaHC"
"upperAsymptote_Intercept4",0.901876291283569,0.00159359436113739,0.898868262683579,0.905098818555305,"UD_Armenian-ArmTDP"
"lowerAsymptote_Intercept4",0.327754768075006,0.0056578145099162,0.316677126721868,0.33880219378705,"UD_Armenian-ArmTDP"
"growthRate_Intercept4",0.00100012201244451,2.97533831001737e-05,0.000943859548974504,0.00106032878860756,"UD_Armenian-ArmTDP"
"delta_Intercept4",0.428552521033685,0.00858333699425246,0.411752285588149,0.445389348643848,"UD_Armenian-ArmTDP"
"upperAsymptote_Intercept5",0.923234794402037,0.000406321814046439,0.922445746064339,0.924048638978518,"UD_Basque-BDT"
"lowerAsymptote_Intercept5",0.341924021351324,0.00225336025352705,0.337470093912155,0.346265719944323,"UD_Basque-BDT"
"growthRate_Intercept5",0.000816929259142286,9.70685724283845e-06,0.000798280488373962,0.000836248376366429,"UD_Basque-BDT"
"delta_Intercept5",0.399157999809787,0.00255340589893947,0.394179997006564,0.404124233332966,"UD_Basque-BDT"
"upperAsymptote_Intercept6",0.959391688880242,0.000324873477652504,0.958755944511797,0.960016943263849,"UD_Slovenian-SSJ"
"lowerAsymptote_Intercept6",0.144585057871176,0.00283109060559551,0.139190516456825,0.150087949032395,"UD_Slovenian-SSJ"
"growthRate_Intercept6",0.00114972638272775,1.41371394477521e-05,0.00112167786921986,0.00117749534297517,"UD_Slovenian-SSJ"
"delta_Intercept6",0.357812218346355,0.00191648593368805,0.353996747868595,0.36162996513505,"UD_Slovenian-SSJ"
"upperAsymptote_Intercept7",0.917692307014037,0.000538342848147901,0.916666352179315,0.918771980768234,"UD_English-EWT"
"lowerAsymptote_Intercept7",0.0658432615858133,0.00610014643139769,0.0538805873279016,0.0779565159318217,"UD_English-EWT"
"growthRate_Intercept7",0.00144072391162899,3.53518646873291e-05,0.00137204925548897,0.00151219597842747,"UD_English-EWT"
"delta_Intercept7",0.391682013795126,0.00453077324873981,0.38276790730236,0.40046749052012,"UD_English-EWT"
"upperAsymptote_Intercept8",0.956696989155501,0.00062207754941695,0.955491681896429,0.957952784566951,"UD_Persian-PerDT"
"lowerAsymptote_Intercept8",0.243463830856349,0.00331147596070139,0.236773639256523,0.24990638468613,"UD_Persian-PerDT"
"growthRate_Intercept8",0.00339717759968506,8.94847320597842e-05,0.00322515414763484,0.00357254181552087,"UD_Persian-PerDT"
"delta_Intercept8",0.259248441038655,0.00266458128870245,0.254081787811868,0.264553498445631,"UD_Persian-PerDT"
"upperAsymptote_Intercept9",0.961212562856535,0.00111530141394839,0.959079834356873,0.963516812831007,"UD_Manx-Cadhan"
"lowerAsymptote_Intercept9",0.600580997542951,0.00294052450533258,0.594715394288561,0.606454340996918,"UD_Manx-Cadhan"
"growthRate_Intercept9",0.00301772129792121,8.95708394748212e-05,0.0028496586414226,0.00320232605900255,"UD_Manx-Cadhan"
