"","Estimate","Est.Error","Q2.5","Q97.5","Treebank"
"upperAsymptote_Intercept",0.947795120271086,0.00205968010090063,0.944023654356657,0.952037080664224,"UD_Afrikaans-AfriBooms"
"lowerAsymptote_Intercept",0.397052158416873,0.00745408478719682,0.382515822784625,0.411423540603376,"UD_Afrikaans-AfriBooms"
"growthRate_Intercept",0.00180644156031527,9.02584726611441e-05,0.00164070557344981,0.00199082600308832,"UD_Afrikaans-AfriBooms"
"delta_Intercept",0.387042738903296,0.0123781665144043,0.362875822639868,0.411552454255734,"UD_Afrikaans-AfriBooms"
"upperAsymptote_Intercept1",0.939386459171137,0.000987824050351953,0.937533035339163,0.941368300003739,"UD_Hebrew-HTB"
"lowerAsymptote_Intercept1",0.455939373211918,0.00360686156306177,0.449077870195175,0.463262054247957,"UD_Hebrew-HTB"
"growthRate_Intercept1",0.000812632200270878,2.16893375960482e-05,0.000771096630378827,0.000856184150688587,"UD_Hebrew-HTB"
"delta_Intercept1",0.319960809917255,0.0043114114124987,0.3114977910341,0.328316192937836,"UD_Hebrew-HTB"
"upperAsymptote_Intercept2",0.951634748565057,0.000771234838683463,0.95015289131245,0.953196995099658,"UD_Italian-ParTUT"
"lowerAsymptote_Intercept2",0.477677306419926,0.00348141578204521,0.470892645809106,0.484599484035368,"UD_Italian-ParTUT"
"growthRate_Intercept2",0.000752779345495544,1.52214770466284e-05,0.000723234193992212,0.000783601563737668,"UD_Italian-ParTUT"
"delta_Intercept2",0.459154788869425,0.00597297220504349,0.447621081723638,0.47127154881008,"UD_Italian-ParTUT"
"upperAsymptote_Intercept3",0.937616015510721,0.00127620759272841,0.93514769134847,0.940172832515508,"UD_Faroese-FarPaHC"
"lowerAsymptote_Intercept3",0.389617059326721,0.0027187963809931,0.384260616452752,0.395053604810997,"UD_Faroese-FarPaHC"
"growthRate_Intercept3",0.00152371751532706,2.75385046358413e-05,0.00147042354788904,0.00157919005761675,"UD_Faroese-FarPaHC"
"delta_Intercept3",0.407910128560466,0.005527585655205,0.39721579066961,0.418795833444649,"UD_Faroese-FarPaHC"
"upperAsymptote_Intercept4",0.926064875912678,0.00190438105754687,0.922510585493384,0.930030739005961,"UD_Armenian-ArmTDP"
"lowerAsymptote_Intercept4",0.266367434116067,0.00285291086302042,0.260609107702409,0.271956538926603,"UD_Armenian-ArmTDP"
"growthRate_Intercept4",0.000818422733604795,1.51760260218954e-05,0.000788434319028659,0.000848422354773247,"UD_Armenian-ArmTDP"
"delta_Intercept4",0.336225710755561,0.00377653717369763,0.328752379089188,0.343632849140568,"UD_Armenian-ArmTDP"
"upperAsymptote_Intercept5",0.922211916553235,0.000891178181763869,0.920448349074369,0.923960728126052,"UD_Basque-BDT"
"lowerAsymptote_Intercept5",0.39331638032424,0.00313652731233649,0.387126026028056,0.39951553552762,"UD_Basque-BDT"
