"","Estimate","Est.Error","Q2.5","Q97.5","Treebank"
"upperAsymptote_Intercept",0.907732282642968,0.00184629986489919,0.904242054721408,0.911482022353539,"UD_Turkish-IMST"
"lowerAsymptote_Intercept",0.649654039282903,0.00260562259507493,0.644597605308884,0.654827003139472,"UD_Turkish-IMST"
"growthRate_Intercept",0.000162201191149982,4.22221463536764e-06,0.000153850629302341,0.000170505768749672,"UD_Turkish-IMST"
"delta_Intercept",0.660206423912094,0.0150817685650394,0.631125643666282,0.690617546912049,"UD_Turkish-IMST"
"upperAsymptote_Intercept1",0.946758793937317,0.00132526928957132,0.944305736927395,0.949468130462193,"UD_Swedish-LinES"
"lowerAsymptote_Intercept1",0.716642427872074,0.00270945467717962,0.711347630413737,0.721923725926043,"UD_Swedish-LinES"
"growthRate_Intercept1",0.000191942381135577,6.01114706592988e-06,0.000180078411709739,0.000203830374664744,"UD_Swedish-LinES"
"delta_Intercept1",0.528606905225169,0.0119599796833167,0.505510522229633,0.552228366974683,"UD_Swedish-LinES"
"upperAsymptote_Intercept2",0.886879085315883,0.00920443804278517,0.870327240269989,0.907541935069463,"UD_Italian-ParlaMint"
"lowerAsymptote_Intercept2",0.792881299153346,0.0326649564682496,0.72841766794639,0.857457754176616,"UD_Italian-ParlaMint"
"growthRate_Intercept2",4.92554286031854,2.92491866583972,0.163792612644561,9.74925120349465,"UD_Italian-ParlaMint"
"delta_Intercept2",4.93276880628869,2.9804863123709,0.0982193817231728,9.77026049544527,"UD_Italian-ParlaMint"
"upperAsymptote_Intercept3",0.828312900724544,0.0111742331687778,0.808370636353373,0.848824050818269,"UD_Irish-TwittIrish"
"lowerAsymptote_Intercept3",0.699625311378502,0.0410499349193109,0.618145020547617,0.781754974131049,"UD_Irish-TwittIrish"
"growthRate_Intercept3",4.95287131519798,2.84047937806896,0.269255641244226,9.72383405665543,"UD_Irish-TwittIrish"
"delta_Intercept3",4.89536507273227,2.96672299047394,0.124597618903781,9.69467924720398,"UD_Irish-TwittIrish"
"upperAsymptote_Intercept4",0.958538398248606,0.000652389718221332,0.957280534883811,0.959844538778197,"UD_Russian-GSD"
"lowerAsymptote_Intercept4",0.700110514958924,0.00217612107662593,0.695911221253989,0.704462683773003,"UD_Russian-GSD"
"growthRate_Intercept4",0.000198583741057437,3.94263232269436e-06,0.000190849732662575,0.000206368265312817,"UD_Russian-GSD"
"delta_Intercept4",0.531967968743936,0.00766129864671511,0.517501724639064,0.547467674018682,"UD_Russian-GSD"
"upperAsymptote_Intercept5",0.963576355285627,0.000368383324232067,0.962866487830661,0.964300034170533,"UD_French-GSD"
"lowerAsymptote_Intercept5",0.750952178452497,0.00149139694738285,0.748012313564462,0.753867107417021,"UD_French-GSD"
"growthRate_Intercept5",0.000165137775998228,2.63586407505774e-06,0.000160035473983773,0.000170434506829672,"UD_French-GSD"
"delta_Intercept5",0.531943326458436,0.00599227469495856,0.520253455033368,0.543633627120945,"UD_French-GSD"
"upperAsymptote_Intercept6",0.952794475818411,0.000332745307332531,0.952152084818157,0.953467834109433,"UD_Portuguese-GSD"
"lowerAsymptote_Intercept6",0.731195665012683,0.00176807149731697,0.727727641942035,0.734590908641815,"UD_Portuguese-GSD"
"growthRate_Intercept6",0.000191235188410874,3.34890100792442e-06,0.000184903254886556,0.000197911104082559,"UD_Portuguese-GSD"
"delta_Intercept6",0.558855602623999,0.0068435423196165,0.545271330712255,0.572312305675561,"UD_Portuguese-GSD"
"upperAsymptote_Intercept7",0.923580065569833,0.00252041506235367,0.919064345539164,0.928979128896192,"UD_Wolof-WTB"
"lowerAsymptote_Intercept7",0.727476927257537,0.00272943021008858,0.722191508037381,0.732912250893585,"UD_Wolof-WTB"
"growthRate_Intercept7",0.000268788417660309,1.24435788588455e-05,0.000244367513363131,0.000292798979000641,"UD_Wolof-WTB"
"delta_Intercept7",0.619299083326012,0.0223777823957661,0.57608072555793,0.664219924731376,"UD_Wolof-WTB"
"upperAsymptote_Intercept8",0.951049063598634,0.000402629940705074,0.950280835452287,0.951861533591779,"UD_Arabic-PADT"
"lowerAsymptote_Intercept8",0.750720777667029,0.00140464804552116,0.747949896661563,0.753388663730905,"UD_Arabic-PADT"
"growthRate_Intercept8",0.00013148294825084,2.01250367138628e-06,0.000127592524992026,0.000135477404607295,"UD_Arabic-PADT"
"delta_Intercept8",0.544517676528441,0.00623760922267981,0.532179219629466,0.556601972036448,"UD_Arabic-PADT"
"upperAsymptote_Intercept9",0.93411285504411,0.000633304409574831,0.932896228864998,0.935400121344422,"UD_Estonian-EDT"
"lowerAsymptote_Intercept9",0.628558024848596,0.00216860466990648,0.624331777410487,0.632799945293261,"UD_Estonian-EDT"
